group,file,channel,drive_Vpp,sensor_Vpp,ratio
tube,al tube - midway.CSV,CH1,20.0,0.2,0.01
tube,al tube just ball.CSV,CH1,20.0,0.10200000000000001,0.0051
tube,al tube just wire.CSV,CH1,20.0,0.304,0.0152
rings,pmma tube ball in front of black sensor.CSV,CH1,20.0,0.029199999999999997,0.00146
rings,pmma tube ball in front of black sensor.CSV,CH2,20.0,0.007199999999999998,0.0003599999999999999
rings,pmma tube ball in front of blue sensor.CSV,CH1,20.0,0.010400000000000001,0.0005200000000000001
rings,pmma tube ball in front of blue sensor.CSV,CH2,20.0,0.0248,0.00124
rings,pmma tube just wire (blue top) (2) (better).CSV,CH1,20.0,0.009600000000000001,0.00048000000000000007
rings,pmma tube just wire (blue top) (2) (better).CSV,CH2,20.0,0.010400000000000001,0.0005200000000000001
rings,pmma tube just wire blue bottom.CSV,CH1,20.0,0.01,0.0005
rings,pmma tube just wire blue bottom.CSV,CH2,20.0,0.009600000000000001,0.00048000000000000007
cup,cup ball just pass lip.CSV,CH1,20.0,0.07760080000013114,0.0038800400000065572
cup,cup ball midpoint.CSV,CH1,20.0,0.128,0.0064
cup,cup ball nearly touching bottom.CSV,CH1,20.0,0.23,0.0115
